 Description City Street PostalCode Country Longitude Latitude isOwnedByWall isHandicappedAccessible Price canBePayedWithCoins canBePayedInApp canBePayedWithNFC hasChangingTable LabelID
65 "Wall CT, Achillesstr." Berlin Achillesstr. 13125 Deutschland 13.48851 52.617635 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
66 "Wall CT, S-Bhf. Wilhelmshagen, Schönblicker Str." Berlin "S-Bhf. Wilhelmshagen, Schönblicker Str." 12589 Deutschland 13.7210046415745 52.4390817378726 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
67 "Wall CT, Eberbacher Str." Berlin "Eberbacher Str." 14197 Deutschland 13.3092685301689 52.473324575463 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
68 "Wall CT, Weitlingstr." Berlin Weitlingstr. 10317 Deutschland 13.4993596999717 52.5106318769395 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
69 "Toilette Grünberger Str." Berlin "Boxhagener Platz, Gärtnerstr." 10245 Deutschland 13.4606556296341 52.5106971566647 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
70 "Wall CT, Breitenbachplatz" Berlin Breitenbachplatz 14195 Deutschland 13.3086648230217 52.4672367895227 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
71 "Wall CT, Griechische Allee" Berlin "Griechische Allee" 12459 Deutschland 13.5138909063174 52.4646370786482 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
72 "Wall CT, Hempelsteig" Berlin Hempelsteig 14052 Deutschland 13.240857 52.525505 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
73 "Wall CT, Goerzallee" Berlin Goerzallee 12207 Deutschland 13.3093156903864 52.4309018915121 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
74 "Wall CT, Munsterdamm" Berlin Munsterdamm 12157 Deutschland 13.3491057199504 52.4585530612939 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
75 "Wall CT, Ostpreußendamm" Berlin Ostpreußendamm 12207 Deutschland 13.3048687553929 52.4175685677034 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
76 "Wall CT, Steglitzer Damm" Berlin "Steglitzer Damm" 12169 Deutschland 13.3428182601929 52.45068359375 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
77 "Wall CT, S-Bhf. Wartenberg , Egon-Erwin-Kisch-Str." Berlin "S-Bhf. Wartenberg , Egon-Erwin-Kisch-Str." 13059 Deutschland 13.5046711288011 52.5733301033486 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
78 "Wall CT, S-Bhf. Karlshorst, Stolzenfelsstr." Berlin "S-Bhf. Karlshorst, Stolzenfelsstr." 10318 Deutschland 13.5260174309 52.4813251482 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
79 "Wall CT, Burgstr. (James-Simon-Park)" Berlin "Burgstr. (James-Simon-Park)" 10178 Deutschland 13.400429357 52.521999592 1 1 "50 Cent" 1 0 1 0 "City Toilette"
80 "Toilette Bernauer Str. (DLRG-Rettungsstelle/Badestelle/Fähre) (ex. Bernauer Str. an der Badestelle (Reiswerder))" Berlin "Zufahrt Insel Reiswerder" 13629 Deutschland 13.2565555555556 52.5681388888889 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
81 "Wall CT, Boulevard Kastanienallee" Berlin "Boulevard Kastanienallee" 12619 Deutschland 13.6033523134046 52.5319120500029 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
82 "Wall CT, Attilaplatz, Attilastr." Berlin "Attilaplatz, Attilastr." 12105 Deutschland 13.3759973597359 52.4559113902088 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
83 "Wall CT, Hranitzkistr." Berlin Hranitzkistr. 12277 Deutschland 13.3710977471902 52.4225198402077 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
84 "Wall CT, Spittelmarkt, Niederwallstr." Berlin "Spittelmarkt, Niederwallstr." 10117 Deutschland 13.4007839020002 52.5116668951405 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
85 "Wall CT, Hermannplatz" Berlin Hermannplatz 10967 Deutschland 13.4252979899 52.4876315049 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
86 "Wall CT, S-Bhf. Frohnau, Welfenallee" Berlin "S-Bhf. Frohnau, Welfenallee" 13465 Deutschland 13.2890079265 52.6319858039 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
87 "Wall CT, S-Bhf. Adlershof, Rudower Chaussee" Berlin "S-Bhf. Adlershof, Rudower Chaussee" 12489 Deutschland 13.53926 52.43443 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
88 "Wall CT, Neuendorfer Str." Berlin "Neuendorfer Str." 13585 Deutschland 13.2056353123 52.5414339921 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
89 "Wall CT, Hohenzollernplatz, Hohenzollerndamm" Berlin "Hohenzollernplatz, Hohenzollerndamm" 10717 Deutschland 13.3250563841 52.494013819 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
90 "Wall CT, S-Bhf. Biesdorf, Wuhlgartenweg" Berlin "S-Bhf. Biesdorf, Wuhlgartenweg" 12683 Deutschland 13.5549178147 52.5134202058 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
91 "Wall CT, Innsbrucker Platz" Berlin "Innsbrucker Platz" 10825 Deutschland 13.3434712846 52.4786755758 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
